,Equipo,Tabla,n_sim,Posición
6249,Universidad de Concepción,Ponderada,174,18
6250,Palestino,Absoluta,174,6
6251,Palestino,Ponderada,174,4
6252,Universidad de Chile,Absoluta,174,5
6253,Universidad de Chile,Ponderada,174,15
6254,Cobresal,Absoluta,174,11
6255,Cobresal,Ponderada,174,9
6256,Universidad Católica,Absoluta,174,1
6257,Universidad Católica,Ponderada,174,1
6258,Iquique,Absoluta,174,15
6259,Iquique,Ponderada,174,17
6260,La Serena,Absoluta,174,16
6261,La Serena,Ponderada,174,14
6262,Coquimbo Unido,Absoluta,174,18
6263,Coquimbo Unido,Ponderada,174,13
6264,Everton,Absoluta,175,8
6265,Everton,Ponderada,175,12
6266,O'Higgins,Absoluta,175,9
6267,O'Higgins,Ponderada,175,7
6268,Antofagasta,Absoluta,175,5
6269,Antofagasta,Ponderada,175,13
6270,Audax Italiano,Absoluta,175,15
6271,Audax Italiano,Ponderada,175,10
6272,Santiago Wanderers,Absoluta,175,12
6273,Santiago Wanderers,Ponderada,175,9
6274,Huachipato,Absoluta,175,6
6275,Huachipato,Ponderada,175,6
6276,Unión Española,Absoluta,175,3
6277,Unión Española,Ponderada,175,4
6278,Curicó Unido,Absoluta,175,10
6279,Curicó Unido,Ponderada,175,15
6280,Colo-Colo,Absoluta,175,17
6281,Colo-Colo,Ponderada,175,5
6282,Unión La Calera,Absoluta,175,1
6283,Unión La Calera,Ponderada,175,2
6284,Universidad de Concepción,Absoluta,175,11
6285,Universidad de Concepción,Ponderada,175,18
6286,Palestino,Absoluta,175,4
6287,Palestino,Ponderada,175,3
6288,Universidad de Chile,Absoluta,175,7
6289,Universidad de Chile,Ponderada,175,16
6290,Cobresal,Absoluta,175,13
6291,Cobresal,Ponderada,175,14
6292,Universidad Católica,Absoluta,175,2
6293,Universidad Católica,Ponderada,175,1
6294,Iquique,Absoluta,175,16
6295,Iquique,Ponderada,175,17
6296,La Serena,Absoluta,175,14
6297,La Serena,Ponderada,175,11
6298,Coquimbo Unido,Absoluta,175,18
6299,Coquimbo Unido,Ponderada,175,8
6300,Everton,Absoluta,176,11
6301,Everton,Ponderada,176,15
6302,O'Higgins,Absoluta,176,8
6303,O'Higgins,Ponderada,176,9
6304,Antofagasta,Absoluta,176,5
6305,Antofagasta,Ponderada,176,12
6306,Audax Italiano,Absoluta,176,17
6307,Audax Italiano,Ponderada,176,11
6308,Santiago Wanderers,Absoluta,176,9
6309,Santiago Wanderers,Ponderada,176,8
6310,Huachipato,Absoluta,176,7
6311,Huachipato,Ponderada,176,6
6312,Unión Española,Absoluta,176,3
6313,Unión Española,Ponderada,176,3
6314,Curicó Unido,Absoluta,176,4
6315,Curicó Unido,Ponderada,176,10
6316,Colo-Colo,Absoluta,176,13
6317,Colo-Colo,Ponderada,176,5
6318,Unión La Calera,Absoluta,176,2
6319,Unión La Calera,Ponderada,176,2
6320,Universidad de Concepción,Absoluta,176,15
6321,Universidad de Concepción,Ponderada,176,18
6322,Palestino,Absoluta,176,6
6323,Palestino,Ponderada,176,4
6324,Universidad de Chile,Absoluta,176,10
6325,Universidad de Chile,Ponderada,176,16
6326,Cobresal,Absoluta,176,12
6327,Cobresal,Ponderada,176,13
6328,Universidad Católica,Absoluta,176,1
6329,Universidad Católica,Ponderada,176,1
6330,Iquique,Absoluta,176,18
6331,Iquique,Ponderada,176,17
6332,La Serena,Absoluta,176,16
6333,La Serena,Ponderada,176,14
6334,Coquimbo Unido,Absoluta,176,14
6335,Coquimbo Unido,Ponderada,176,7
6336,Everton,Absoluta,177,9
6337,Everton,Ponderada,177,14
6338,O'Higgins,Absoluta,177,8
6339,O'Higgins,Ponderada,177,6
6340,Antofagasta,Absoluta,177,6
6341,Antofagasta,Ponderada,177,13
6342,Audax Italiano,Absoluta,177,13
6343,Audax Italiano,Ponderada,177,10
6344,Santiago Wanderers,Absoluta,177,12
6345,Santiago Wanderers,Ponderada,177,7
6346,Huachipato,Absoluta,177,10
6347,Huachipato,Ponderada,177,9
6348,Unión Española,Absoluta,177,3
6349,Unión Española,Ponderada,177,3
6350,Curicó Unido,Absoluta,177,5
6351,Curicó Unido,Ponderada,177,11
6352,Colo-Colo,Absoluta,177,17
6353,Colo-Colo,Ponderada,177,5
6354,Unión La Calera,Absoluta,177,2
6355,Unión La Calera,Ponderada,177,2
6356,Universidad de Concepción,Absoluta,177,15
6357,Universidad de Concepción,Ponderada,177,18
6358,Palestino,Absoluta,177,7
6359,Palestino,Ponderada,177,4
6360,Universidad de Chile,Absoluta,177,4
6361,Universidad de Chile,Ponderada,177,15
6362,Cobresal,Absoluta,177,11
6363,Cobresal,Ponderada,177,12
6364,Universidad Católica,Absoluta,177,1
6365,Universidad Católica,Ponderada,177,1
6366,Iquique,Absoluta,177,14
6367,Iquique,Ponderada,177,16
6368,La Serena,Absoluta,177,18
6369,La Serena,Ponderada,177,17
6370,Coquimbo Unido,Absoluta,177,16
6371,Coquimbo Unido,Ponderada,177,8
6372,Everton,Absoluta,178,5
6373,Everton,Ponderada,178,11
6374,O'Higgins,Absoluta,178,4
6375,O'Higgins,Ponderada,178,5
6376,Antofagasta,Absoluta,178,11
6377,Antofagasta,Ponderada,178,16
6378,Audax Italiano,Absoluta,178,13
6379,Audax Italiano,Ponderada,178,9
6380,Santiago Wanderers,Absoluta,178,12
6381,Santiago Wanderers,Ponderada,178,8
6382,Huachipato,Absoluta,178,10
6383,Huachipato,Ponderada,178,7
6384,Unión Española,Absoluta,178,3
6385,Unión Española,Ponderada,178,4
6386,Curicó Unido,Absoluta,178,7
6387,Curicó Unido,Ponderada,178,13
6388,Colo-Colo,Absoluta,178,16
6389,Colo-Colo,Ponderada,178,6
6390,Unión La Calera,Absoluta,178,2
6391,Unión La Calera,Ponderada,178,2
6392,Universidad de Concepción,Absoluta,178,14
6393,Universidad de Concepción,Ponderada,178,17
6394,Palestino,Absoluta,178,8
6395,Palestino,Ponderada,178,3
6396,Universidad de Chile,Absoluta,178,6
6397,Universidad de Chile,Ponderada,178,15
6398,Cobresal,Absoluta,178,9
6399,Cobresal,Ponderada,178,10
6400,Universidad Católica,Absoluta,178,1
6401,Universidad Católica,Ponderada,178,1
6402,Iquique,Absoluta,178,17
6403,Iquique,Ponderada,178,18
6404,La Serena,Absoluta,178,15
6405,La Serena,Ponderada,178,12
6406,Coquimbo Unido,Absoluta,178,18
6407,Coquimbo Unido,Ponderada,178,14
6408,Everton,Absoluta,179,12
6409,Everton,Ponderada,179,16
6410,O'Higgins,Absoluta,179,9
6411,O'Higgins,Ponderada,179,7
6412,Antofagasta,Absoluta,179,8
6413,Antofagasta,Ponderada,179,15
6414,Audax Italiano,Absoluta,179,15
6415,Audax Italiano,Ponderada,179,12
6416,Santiago Wanderers,Absoluta,179,13
6417,Santiago Wanderers,Ponderada,179,11
6418,Huachipato,Absoluta,179,5
6419,Huachipato,Ponderada,179,5
6420,Unión Española,Absoluta,179,3
6421,Unión Española,Ponderada,179,3
6422,Curicó Unido,Absoluta,179,7
6423,Curicó Unido,Ponderada,179,13
6424,Colo-Colo,Absoluta,179,16
6425,Colo-Colo,Ponderada,179,6
6426,Unión La Calera,Absoluta,179,1
6427,Unión La Calera,Ponderada,179,2
6428,Universidad de Concepción,Absoluta,179,10
6429,Universidad de Concepción,Ponderada,179,17
6430,Palestino,Absoluta,179,6
6431,Palestino,Ponderada,179,4
6432,Universidad de Chile,Absoluta,179,4
6433,Universidad de Chile,Ponderada,179,9
6434,Cobresal,Absoluta,179,11
6435,Cobresal,Ponderada,179,14
6436,Universidad Católica,Absoluta,179,2
6437,Universidad Católica,Ponderada,179,1
6438,Iquique,Absoluta,179,18
6439,Iquique,Ponderada,179,18
6440,La Serena,Absoluta,179,14
6441,La Serena,Ponderada,179,10
6442,Coquimbo Unido,Absoluta,179,17
6443,Coquimbo Unido,Ponderada,179,8
6444,Everton,Absoluta,180,9
6445,Everton,Ponderada,180,13
6446,O'Higgins,Absoluta,180,10
6447,O'Higgins,Ponderada,180,7
6448,Antofagasta,Absoluta,180,8
6449,Antofagasta,Ponderada,180,15
6450,Audax Italiano,Absoluta,180,15
6451,Audax Italiano,Ponderada,180,11
6452,Santiago Wanderers,Absoluta,180,14
6453,Santiago Wanderers,Ponderada,180,9
6454,Huachipato,Absoluta,180,7
6455,Huachipato,Ponderada,180,6
6456,Unión Española,Absoluta,180,3
6457,Unión Española,Ponderada,180,4
6458,Curicó Unido,Absoluta,180,5
6459,Curicó Unido,Ponderada,180,14
6460,Colo-Colo,Absoluta,180,17
6461,Colo-Colo,Ponderada,180,5
6462,Unión La Calera,Absoluta,180,1
6463,Unión La Calera,Ponderada,180,2
6464,Universidad de Concepción,Absoluta,180,12
6465,Universidad de Concepción,Ponderada,180,18
6466,Palestino,Absoluta,180,4
6467,Palestino,Ponderada,180,3
6468,Universidad de Chile,Absoluta,180,6
6469,Universidad de Chile,Ponderada,180,16
6470,Cobresal,Absoluta,180,11
6471,Cobresal,Ponderada,180,12
6472,Universidad Católica,Absoluta,180,2
6473,Universidad Católica,Ponderada,180,1
6474,Iquique,Absoluta,180,16
6475,Iquique,Ponderada,180,17
6476,La Serena,Absoluta,180,13
6477,La Serena,Ponderada,180,8
6478,Coquimbo Unido,Absoluta,180,18
6479,Coquimbo Unido,Ponderada,180,10
6480,Everton,Absoluta,181,12
6481,Everton,Ponderada,181,16
6482,O'Higgins,Absoluta,181,9
6483,O'Higgins,Ponderada,181,8
6484,Antofagasta,Absoluta,181,8
6485,Antofagasta,Ponderada,181,15
6486,Audax Italiano,Absoluta,181,14
6487,Audax Italiano,Ponderada,181,10
6488,Santiago Wanderers,Absoluta,181,10
6489,Santiago Wanderers,Ponderada,181,7
6490,Huachipato,Absoluta,181,6
6491,Huachipato,Ponderada,181,6
6492,Unión Española,Absoluta,181,3
6493,Unión Española,Ponderada,181,4
6494,Curicó Unido,Absoluta,181,7
6495,Curicó Unido,Ponderada,181,14
6496,Colo-Colo,Absoluta,181,16
6497,Colo-Colo,Ponderada,181,5
6498,Unión La Calera,Absoluta,181,2
6499,Unión La Calera,Ponderada,181,2
6500,Universidad de Concepción,Absoluta,181,13
6501,Universidad de Concepción,Ponderada,181,17
6502,Palestino,Absoluta,181,4
6503,Palestino,Ponderada,181,3
6504,Universidad de Chile,Absoluta,181,5
6505,Universidad de Chile,Ponderada,181,12
6506,Cobresal,Absoluta,181,11
6507,Cobresal,Ponderada,181,11
6508,Universidad Católica,Absoluta,181,1
6509,Universidad Católica,Ponderada,181,1
6510,Iquique,Absoluta,181,18
6511,Iquique,Ponderada,181,18
6512,La Serena,Absoluta,181,15
6513,La Serena,Ponderada,181,13
6514,Coquimbo Unido,Absoluta,181,17
6515,Coquimbo Unido,Ponderada,181,9
6516,Everton,Absoluta,182,12
6517,Everton,Ponderada,182,15
6518,O'Higgins,Absoluta,182,9
6519,O'Higgins,Ponderada,182,7
6520,Antofagasta,Absoluta,182,7
6521,Antofagasta,Ponderada,182,13
6522,Audax Italiano,Absoluta,182,14
6523,Audax Italiano,Ponderada,182,10
6524,Santiago Wanderers,Absoluta,182,13
6525,Santiago Wanderers,Ponderada,182,11
6526,Huachipato,Absoluta,182,8
6527,Huachipato,Ponderada,182,6
6528,Unión Española,Absoluta,182,3
6529,Unión Española,Ponderada,182,3
6530,Curicó Unido,Absoluta,182,4
6531,Curicó Unido,Ponderada,182,9
6532,Colo-Colo,Absoluta,182,15
6533,Colo-Colo,Ponderada,182,5
6534,Unión La Calera,Absoluta,182,2
6535,Unión La Calera,Ponderada,182,2
6536,Universidad de Concepción,Absoluta,182,10
6537,Universidad de Concepción,Ponderada,182,17
6538,Palestino,Absoluta,182,6
6539,Palestino,Ponderada,182,4
6540,Universidad de Chile,Absoluta,182,5
6541,Universidad de Chile,Ponderada,182,14
6542,Cobresal,Absoluta,182,11
6543,Cobresal,Ponderada,182,12
6544,Universidad Católica,Absoluta,182,1
6545,Universidad Católica,Ponderada,182,1
6546,Iquique,Absoluta,182,18
6547,Iquique,Ponderada,182,18
6548,La Serena,Absoluta,182,16
6549,La Serena,Ponderada,182,16
6550,Coquimbo Unido,Absoluta,182,17
6551,Coquimbo Unido,Ponderada,182,8
6552,Everton,Absoluta,183,10
6553,Everton,Ponderada,183,12
6554,O'Higgins,Absoluta,183,11
6555,O'Higgins,Ponderada,183,8
6556,Antofagasta,Absoluta,183,6
6557,Antofagasta,Ponderada,183,14
6558,Audax Italiano,Absoluta,183,14
6559,Audax Italiano,Ponderada,183,10
6560,Santiago Wanderers,Absoluta,183,9
6561,Santiago Wanderers,Ponderada,183,5
6562,Huachipato,Absoluta,183,7
6563,Huachipato,Ponderada,183,6
6564,Unión Española,Absoluta,183,3
6565,Unión Española,Ponderada,183,3
6566,Curicó Unido,Absoluta,183,12
6567,Curicó Unido,Ponderada,183,16
6568,Colo-Colo,Absoluta,183,17
6569,Colo-Colo,Ponderada,183,7
6570,Unión La Calera,Absoluta,183,1
6571,Unión La Calera,Ponderada,183,2
6572,Universidad de Concepción,Absoluta,183,13
6573,Universidad de Concepción,Ponderada,183,17
6574,Palestino,Absoluta,183,5
6575,Palestino,Ponderada,183,4
6576,Universidad de Chile,Absoluta,183,4
6577,Universidad de Chile,Ponderada,183,13
6578,Cobresal,Absoluta,183,8
6579,Cobresal,Ponderada,183,9
6580,Universidad Católica,Absoluta,183,2
6581,Universidad Católica,Ponderada,183,1
6582,Iquique,Absoluta,183,16
6583,Iquique,Ponderada,183,18
6584,La Serena,Absoluta,183,15
6585,La Serena,Ponderada,183,15
6586,Coquimbo Unido,Absoluta,183,18
6587,Coquimbo Unido,Ponderada,183,11
6588,Everton,Absoluta,184,12
6589,Everton,Ponderada,184,14
6590,O'Higgins,Absoluta,184,13
6591,O'Higgins,Ponderada,184,9
6592,Antofagasta,Absoluta,184,7
6593,Antofagasta,Ponderada,184,13
6594,Audax Italiano,Absoluta,184,9
6595,Audax Italiano,Ponderada,184,7
6596,Santiago Wanderers,Absoluta,184,8
6597,Santiago Wanderers,Ponderada,184,5
6598,Huachipato,Absoluta,184,10
6599,Huachipato,Ponderada,184,8
6600,Unión Española,Absoluta,184,3
6601,Unión Española,Ponderada,184,3
6602,Curicó Unido,Absoluta,184,5
6603,Curicó Unido,Ponderada,184,11
6604,Colo-Colo,Absoluta,184,16
6605,Colo-Colo,Ponderada,184,6
6606,Unión La Calera,Absoluta,184,2
6607,Unión La Calera,Ponderada,184,2
6608,Universidad de Concepción,Absoluta,184,14
6609,Universidad de Concepción,Ponderada,184,17
6610,Palestino,Absoluta,184,6
6611,Palestino,Ponderada,184,4
6612,Universidad de Chile,Absoluta,184,4
6613,Universidad de Chile,Ponderada,184,15
6614,Cobresal,Absoluta,184,11
6615,Cobresal,Ponderada,184,10
6616,Universidad Católica,Absoluta,184,1
6617,Universidad Católica,Ponderada,184,1
6618,Iquique,Absoluta,184,17
6619,Iquique,Ponderada,184,18
6620,La Serena,Absoluta,184,15
6621,La Serena,Ponderada,184,16
6622,Coquimbo Unido,Absoluta,184,18
6623,Coquimbo Unido,Ponderada,184,12
6624,Everton,Absoluta,185,15
6625,Everton,Ponderada,185,16
6626,O'Higgins,Absoluta,185,9
6627,O'Higgins,Ponderada,185,6
6628,Antofagasta,Absoluta,185,7
6629,Antofagasta,Ponderada,185,15
6630,Audax Italiano,Absoluta,185,12
6631,Audax Italiano,Ponderada,185,10
6632,Santiago Wanderers,Absoluta,185,14
6633,Santiago Wanderers,Ponderada,185,13
6634,Huachipato,Absoluta,185,8
6635,Huachipato,Ponderada,185,7
6636,Unión Española,Absoluta,185,3
6637,Unión Española,Ponderada,185,4
6638,Curicó Unido,Absoluta,185,4
6639,Curicó Unido,Ponderada,185,8
6640,Colo-Colo,Absoluta,185,16
6641,Colo-Colo,Ponderada,185,5
6642,Unión La Calera,Absoluta,185,2
6643,Unión La Calera,Ponderada,185,2
6644,Universidad de Concepción,Absoluta,185,11
6645,Universidad de Concepción,Ponderada,185,17
6646,Palestino,Absoluta,185,6
6647,Palestino,Ponderada,185,3
6648,Universidad de Chile,Absoluta,185,5
6649,Universidad de Chile,Ponderada,185,14
6650,Cobresal,Absoluta,185,10
6651,Cobresal,Ponderada,185,11
6652,Universidad Católica,Absoluta,185,1
6653,Universidad Católica,Ponderada,185,1
6654,Iquique,Absoluta,185,17
6655,Iquique,Ponderada,185,18
6656,La Serena,Absoluta,185,13
6657,La Serena,Ponderada,185,9
6658,Coquimbo Unido,Absoluta,185,18
6659,Coquimbo Unido,Ponderada,185,12
6660,Everton,Absoluta,186,13
6661,Everton,Ponderada,186,16
6662,O'Higgins,Absoluta,186,6
6663,O'Higgins,Ponderada,186,7
6664,Antofagasta,Absoluta,186,8
6665,Antofagasta,Ponderada,186,14
6666,Audax Italiano,Absoluta,186,15
6667,Audax Italiano,Ponderada,186,11
6668,Santiago Wanderers,Absoluta,186,10
6669,Santiago Wanderers,Ponderada,186,6
6670,Huachipato,Absoluta,186,9
6671,Huachipato,Ponderada,186,9
6672,Unión Española,Absoluta,186,3
6673,Unión Española,Ponderada,186,4
6674,Curicó Unido,Absoluta,186,7
6675,Curicó Unido,Ponderada,186,12
6676,Colo-Colo,Absoluta,186,14
6677,Colo-Colo,Ponderada,186,5
6678,Unión La Calera,Absoluta,186,2
6679,Unión La Calera,Ponderada,186,2
6680,Universidad de Concepción,Absoluta,186,17
6681,Universidad de Concepción,Ponderada,186,17
6682,Palestino,Absoluta,186,4
6683,Palestino,Ponderada,186,3
6684,Universidad de Chile,Absoluta,186,5
6685,Universidad de Chile,Ponderada,186,15
6686,Cobresal,Absoluta,186,12
6687,Cobresal,Ponderada,186,13
6688,Universidad Católica,Absoluta,186,1
6689,Universidad Católica,Ponderada,186,1
6690,Iquique,Absoluta,186,18
6691,Iquique,Ponderada,186,18
6692,La Serena,Absoluta,186,11
6693,La Serena,Ponderada,186,8
6694,Coquimbo Unido,Absoluta,186,16
6695,Coquimbo Unido,Ponderada,186,10
6696,Everton,Absoluta,187,8
6697,Everton,Ponderada,187,14
6698,O'Higgins,Absoluta,187,10
6699,O'Higgins,Ponderada,187,7
6700,Antofagasta,Absoluta,187,7
6701,Antofagasta,Ponderada,187,15
6702,Audax Italiano,Absoluta,187,15
6703,Audax Italiano,Ponderada,187,9
6704,Santiago Wanderers,Absoluta,187,13
6705,Santiago Wanderers,Ponderada,187,8
6706,Huachipato,Absoluta,187,9
6707,Huachipato,Ponderada,187,6
6708,Unión Española,Absoluta,187,3
6709,Unión Española,Ponderada,187,4
6710,Curicó Unido,Absoluta,187,6
6711,Curicó Unido,Ponderada,187,10
6712,Colo-Colo,Absoluta,187,11
6713,Colo-Colo,Ponderada,187,5
6714,Unión La Calera,Absoluta,187,2
6715,Unión La Calera,Ponderada,187,2
6716,Universidad de Concepción,Absoluta,187,12
6717,Universidad de Concepción,Ponderada,187,18
6718,Palestino,Absoluta,187,4
6719,Palestino,Ponderada,187,3
6720,Universidad de Chile,Absoluta,187,5
6721,Universidad de Chile,Ponderada,187,16
6722,Cobresal,Absoluta,187,14
6723,Cobresal,Ponderada,187,12
6724,Universidad Católica,Absoluta,187,1
6725,Universidad Católica,Ponderada,187,1
6726,Iquique,Absoluta,187,17
6727,Iquique,Ponderada,187,17
6728,La Serena,Absoluta,187,16
6729,La Serena,Ponderada,187,13
6730,Coquimbo Unido,Absoluta,187,18
6731,Coquimbo Unido,Ponderada,187,11
6732,Everton,Absoluta,188,10
6733,Everton,Ponderada,188,15
6734,O'Higgins,Absoluta,188,13
6735,O'Higgins,Ponderada,188,8
6736,Antofagasta,Absoluta,188,4
6737,Antofagasta,Ponderada,188,12
6738,Audax Italiano,Absoluta,188,12
6739,Audax Italiano,Ponderada,188,9
6740,Santiago Wanderers,Absoluta,188,11
6741,Santiago Wanderers,Ponderada,188,7
6742,Huachipato,Absoluta,188,7
6743,Huachipato,Ponderada,188,6
6744,Unión Española,Absoluta,188,3
6745,Unión Española,Ponderada,188,4
6746,Curicó Unido,Absoluta,188,8
6747,Curicó Unido,Ponderada,188,14
6748,Colo-Colo,Absoluta,188,17
6749,Colo-Colo,Ponderada,188,5
6750,Unión La Calera,Absoluta,188,2
6751,Unión La Calera,Ponderada,188,2
6752,Universidad de Concepción,Absoluta,188,14
6753,Universidad de Concepción,Ponderada,188,18
6754,Palestino,Absoluta,188,6
6755,Palestino,Ponderada,188,3
6756,Universidad de Chile,Absoluta,188,5
6757,Universidad de Chile,Ponderada,188,16
6758,Cobresal,Absoluta,188,9
6759,Cobresal,Ponderada,188,11
6760,Universidad Católica,Absoluta,188,1
6761,Universidad Católica,Ponderada,188,1
6762,Iquique,Absoluta,188,16
6763,Iquique,Ponderada,188,17
6764,La Serena,Absoluta,188,15
6765,La Serena,Ponderada,188,10
6766,Coquimbo Unido,Absoluta,188,18
6767,Coquimbo Unido,Ponderada,188,13
6768,Everton,Absoluta,189,9
6769,Everton,Ponderada,189,13
6770,O'Higgins,Absoluta,189,8
6771,O'Higgins,Ponderada,189,5
6772,Antofagasta,Absoluta,189,11
6773,Antofagasta,Ponderada,189,15
6774,Audax Italiano,Absoluta,189,14
6775,Audax Italiano,Ponderada,189,10
6776,Santiago Wanderers,Absoluta,189,13
6777,Santiago Wanderers,Ponderada,189,8
6778,Huachipato,Absoluta,189,6
6779,Huachipato,Ponderada,189,6
6780,Unión Española,Absoluta,189,3
6781,Unión Española,Ponderada,189,3
6782,Curicó Unido,Absoluta,189,7
6783,Curicó Unido,Ponderada,189,12
6784,Colo-Colo,Absoluta,189,17
6785,Colo-Colo,Ponderada,189,7
6786,Unión La Calera,Absoluta,189,2
6787,Unión La Calera,Ponderada,189,2
6788,Universidad de Concepción,Absoluta,189,10
6789,Universidad de Concepción,Ponderada,189,17
6790,Palestino,Absoluta,189,5
6791,Palestino,Ponderada,189,4
6792,Universidad de Chile,Absoluta,189,4
6793,Universidad de Chile,Ponderada,189,14
6794,Cobresal,Absoluta,189,12
6795,Cobresal,Ponderada,189,9
6796,Universidad Católica,Absoluta,189,1
6797,Universidad Católica,Ponderada,189,1
6798,Iquique,Absoluta,189,16
6799,Iquique,Ponderada,189,18
6800,La Serena,Absoluta,189,15
6801,La Serena,Ponderada,189,16
6802,Coquimbo Unido,Absoluta,189,18
6803,Coquimbo Unido,Ponderada,189,11
6804,Everton,Absoluta,190,11
6805,Everton,Ponderada,190,14
6806,O'Higgins,Absoluta,190,10
6807,O'Higgins,Ponderada,190,7
6808,Antofagasta,Absoluta,190,9
6809,Antofagasta,Ponderada,190,15
6810,Audax Italiano,Absoluta,190,14
6811,Audax Italiano,Ponderada,190,9
6812,Santiago Wanderers,Absoluta,190,13
6813,Santiago Wanderers,Ponderada,190,10
6814,Huachipato,Absoluta,190,8
6815,Huachipato,Ponderada,190,5
6816,Unión Española,Absoluta,190,3
6817,Unión Española,Ponderada,190,3
6818,Curicó Unido,Absoluta,190,6
6819,Curicó Unido,Ponderada,190,13
6820,Colo-Colo,Absoluta,190,17
6821,Colo-Colo,Ponderada,190,6
6822,Unión La Calera,Absoluta,190,2
6823,Unión La Calera,Ponderada,190,2
6824,Universidad de Concepción,Absoluta,190,12
6825,Universidad de Concepción,Ponderada,190,18
6826,Palestino,Absoluta,190,5
6827,Palestino,Ponderada,190,4
6828,Universidad de Chile,Absoluta,190,4
6829,Universidad de Chile,Ponderada,190,12
6830,Cobresal,Absoluta,190,7
6831,Cobresal,Ponderada,190,8
6832,Universidad Católica,Absoluta,190,1
6833,Universidad Católica,Ponderada,190,1
6834,Iquique,Absoluta,190,15
6835,Iquique,Ponderada,190,17
6836,La Serena,Absoluta,190,16
6837,La Serena,Ponderada,190,16
6838,Coquimbo Unido,Absoluta,190,18
6839,Coquimbo Unido,Ponderada,190,11
6840,Everton,Absoluta,191,10
6841,Everton,Ponderada,191,13
6842,O'Higgins,Absoluta,191,5
6843,O'Higgins,Ponderada,191,5
6844,Antofagasta,Absoluta,191,9
6845,Antofagasta,Ponderada,191,14
6846,Audax Italiano,Absoluta,191,14
6847,Audax Italiano,Ponderada,191,9
6848,Santiago Wanderers,Absoluta,191,12
6849,Santiago Wanderers,Ponderada,191,8
6850,Huachipato,Absoluta,191,8
6851,Huachipato,Ponderada,191,7
6852,Unión Española,Absoluta,191,3
6853,Unión Española,Ponderada,191,3
6854,Curicó Unido,Absoluta,191,6
6855,Curicó Unido,Ponderada,191,12
6856,Colo-Colo,Absoluta,191,16
6857,Colo-Colo,Ponderada,191,6
6858,Unión La Calera,Absoluta,191,2
6859,Unión La Calera,Ponderada,191,2
6860,Universidad de Concepción,Absoluta,191,11
6861,Universidad de Concepción,Ponderada,191,18
6862,Palestino,Absoluta,191,4
6863,Palestino,Ponderada,191,4
6864,Universidad de Chile,Absoluta,191,7
6865,Universidad de Chile,Ponderada,191,15
6866,Cobresal,Absoluta,191,13
6867,Cobresal,Ponderada,191,11
6868,Universidad Católica,Absoluta,191,1
6869,Universidad Católica,Ponderada,191,1
6870,Iquique,Absoluta,191,15
6871,Iquique,Ponderada,191,17
6872,La Serena,Absoluta,191,17
6873,La Serena,Ponderada,191,16
6874,Coquimbo Unido,Absoluta,191,18
6875,Coquimbo Unido,Ponderada,191,10
6876,Everton,Absoluta,192,10
6877,Everton,Ponderada,192,14
6878,O'Higgins,Absoluta,192,13
6879,O'Higgins,Ponderada,192,8
6880,Antofagasta,Absoluta,192,4
6881,Antofagasta,Ponderada,192,13
6882,Audax Italiano,Absoluta,192,14
6883,Audax Italiano,Ponderada,192,11
6884,Santiago Wanderers,Absoluta,192,11
6885,Santiago Wanderers,Ponderada,192,6
6886,Huachipato,Absoluta,192,7
6887,Huachipato,Ponderada,192,7
6888,Unión Española,Absoluta,192,3
6889,Unión Española,Ponderada,192,4
6890,Curicó Unido,Absoluta,192,5
6891,Curicó Unido,Ponderada,192,12
6892,Colo-Colo,Absoluta,192,16
6893,Colo-Colo,Ponderada,192,5
6894,Unión La Calera,Absoluta,192,2
6895,Unión La Calera,Ponderada,192,2
6896,Universidad de Concepción,Absoluta,192,12
6897,Universidad de Concepción,Ponderada,192,17
6898,Palestino,Absoluta,192,9
6899,Palestino,Ponderada,192,3
6900,Universidad de Chile,Absoluta,192,8
6901,Universidad de Chile,Ponderada,192,16
6902,Cobresal,Absoluta,192,6
6903,Cobresal,Ponderada,192,9
6904,Universidad Católica,Absoluta,192,1
6905,Universidad Católica,Ponderada,192,1
6906,Iquique,Absoluta,192,18
6907,Iquique,Ponderada,192,18
6908,La Serena,Absoluta,192,15
6909,La Serena,Ponderada,192,15
6910,Coquimbo Unido,Absoluta,192,17
6911,Coquimbo Unido,Ponderada,192,10
6912,Everton,Absoluta,193,8
6913,Everton,Ponderada,193,13
6914,O'Higgins,Absoluta,193,9
6915,O'Higgins,Ponderada,193,6
6916,Antofagasta,Absoluta,193,4
6917,Antofagasta,Ponderada,193,12
6918,Audax Italiano,Absoluta,193,15
6919,Audax Italiano,Ponderada,193,14
6920,Santiago Wanderers,Absoluta,193,12
6921,Santiago Wanderers,Ponderada,193,7
6922,Huachipato,Absoluta,193,10
6923,Huachipato,Ponderada,193,8
6924,Unión Española,Absoluta,193,3
6925,Unión Española,Ponderada,193,4
6926,Curicó Unido,Absoluta,193,7
6927,Curicó Unido,Ponderada,193,16
6928,Colo-Colo,Absoluta,193,16
6929,Colo-Colo,Ponderada,193,5
6930,Unión La Calera,Absoluta,193,2
6931,Unión La Calera,Ponderada,193,2
6932,Universidad de Concepción,Absoluta,193,14
6933,Universidad de Concepción,Ponderada,193,17
6934,Palestino,Absoluta,193,6
6935,Palestino,Ponderada,193,3
6936,Universidad de Chile,Absoluta,193,5
6937,Universidad de Chile,Ponderada,193,15
6938,Cobresal,Absoluta,193,11
6939,Cobresal,Ponderada,193,11
