,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
879,2593,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
880,2597,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
881,2599,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
882,2601,Universidad de Concepción,Audax Italiano,Colo-Colo,Iquique,Iquique
883,2606,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
884,2613,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
885,2614,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
886,2615,Iquique,Coquimbo Unido,Colo-Colo,Universidad de Concepción,Universidad de Concepción
887,2616,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
888,2617,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
889,2618,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
890,2619,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
891,2620,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
892,2621,Universidad de Chile,Audax Italiano,Coquimbo Unido,Iquique,Iquique
893,2622,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
894,2626,Iquique,Iquique,Colo-Colo,Universidad de Concepción,Universidad de Concepción
895,2631,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
896,2639,Iquique,Coquimbo Unido,Colo-Colo,Universidad de Concepción,Universidad de Concepción
897,2640,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
898,2646,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
899,2648,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
900,2653,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
901,2659,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
902,2662,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
903,2664,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
904,2665,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
905,2667,Universidad de Chile,Colo-Colo,Coquimbo Unido,Iquique,Iquique
906,2668,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
907,2671,Universidad de Chile,La Serena,Coquimbo Unido,Iquique,Iquique
908,2672,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
909,2675,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
910,2676,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
911,2678,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
912,2679,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
913,2687,Iquique,La Serena,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
914,2692,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
915,2697,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
916,2701,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
917,2703,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
918,2708,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
919,2709,Universidad de Concepción,Coquimbo Unido,Colo-Colo,Iquique,Iquique
920,2712,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
921,2716,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
922,2717,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
923,2718,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
924,2723,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
925,2724,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
926,2726,Universidad de Concepción,Colo-Colo,Audax Italiano,Iquique,Iquique
927,2728,Iquique,Audax Italiano,Colo-Colo,Universidad de Concepción,Universidad de Concepción
928,2730,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
929,2731,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
