,n_sim,PenPon,AntAbs,Des1,Des2,PenAbs
1126,3305,Iquique,La Serena,Coquimbo Unido,Universidad de Concepción,Universidad de Concepción
1127,3310,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1128,3314,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1129,3320,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1130,3330,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1131,3334,Universidad de Concepción,La Serena,Coquimbo Unido,Iquique,Iquique
1132,3335,Universidad de Concepción,Cobresal,Coquimbo Unido,Iquique,Iquique
1133,3337,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1134,3342,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
1135,3344,Universidad de Concepción,Universidad de Concepción,Coquimbo Unido,Iquique,Iquique
1136,3345,Universidad de Concepción,Audax Italiano,Coquimbo Unido,Iquique,Iquique
1137,3347,Universidad de Concepción,Colo-Colo,Coquimbo Unido,Iquique,Iquique
