,n_sim,Equipo,Desc,Motivo
109,37,Iquique,2,Último Ponderada
110,37,Colo-Colo,3,Partido Ant Abs vs Pen Pon
111,38,Coquimbo Unido,1,Último Absoluta
112,38,Universidad de Concepción,2,Último Ponderada
113,38,Iquique,3,Partido Pen Abs vs Pen Pon
114,39,Coquimbo Unido,1,Último Absoluta
115,39,Universidad de Concepción,2,Último Ponderada
116,39,Iquique,3,Partido Pen Abs vs Pen Pon
117,40,Iquique,1,Último Absoluta
118,40,Universidad de Concepción,2,Penúltimo Ponderada
119,40,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
120,41,Coquimbo Unido,1,Último Absoluta
121,41,Universidad de Concepción,2,Último Ponderada
122,41,Iquique,3,Partido Pen Abs vs Pen Pon
123,42,Coquimbo Unido,1,Último Absoluta
124,42,Universidad de Concepción,2,Último Ponderada
125,42,Iquique,3,Partido Pen Abs vs Pen Pon
126,43,Coquimbo Unido,1,Último Absoluta
127,43,Iquique,2,Último Ponderada
128,43,Colo-Colo,3,Partido Ant Abs vs Pen Pon
129,44,Coquimbo Unido,1,Último Absoluta
130,44,Iquique,2,Último Ponderada
131,44,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
132,45,Coquimbo Unido,1,Último Absoluta
133,45,Iquique,2,Último Ponderada
134,45,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
135,46,Coquimbo Unido,1,Último Absoluta
136,46,Iquique,2,Último Ponderada
137,46,Colo-Colo,3,Partido Ant Abs vs Pen Pon
138,47,Coquimbo Unido,1,Último Absoluta
139,47,Universidad de Concepción,2,Último Ponderada
140,47,Iquique,3,Partido Pen Abs vs Pen Pon
141,48,Coquimbo Unido,1,Último Absoluta
142,48,Iquique,2,Último Ponderada
143,48,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
144,49,Coquimbo Unido,1,Último Absoluta
145,49,Iquique,2,Último Ponderada
146,49,Colo-Colo,3,Partido Ant Abs vs Pen Pon
147,50,Coquimbo Unido,1,Último Absoluta
148,50,Iquique,2,Último Ponderada
149,50,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
150,51,Coquimbo Unido,1,Último Absoluta
151,51,Universidad de Concepción,2,Último Ponderada
152,51,Iquique,3,Partido Pen Abs vs Pen Pon
153,52,Coquimbo Unido,1,Último Absoluta
154,52,Universidad de Concepción,2,Último Ponderada
155,52,Iquique,3,Partido Pen Abs vs Pen Pon
156,53,Coquimbo Unido,1,Último Absoluta
157,53,Iquique,2,Último Ponderada
158,53,Colo-Colo,3,Partido Ant Abs vs Pen Pon
159,54,Coquimbo Unido,1,Último Absoluta
160,54,Iquique,2,Último Ponderada
161,54,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
162,55,Coquimbo Unido,1,Último Absoluta
163,55,Universidad de Concepción,2,Último Ponderada
164,55,Iquique,3,Partido Pen Abs vs Pen Pon
165,56,Coquimbo Unido,1,Último Absoluta
166,56,Iquique,2,Último Ponderada
167,56,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
168,57,Coquimbo Unido,1,Último Absoluta
169,57,Iquique,2,Último Ponderada
170,57,Universidad de Concepción,3,Partido Ant Abs vs Pen Pon
171,58,Iquique,1,Último Absoluta
172,58,Universidad de Concepción,2,Penúltimo Ponderada
173,58,Coquimbo Unido,3,Partido Pen Abs vs Ant Pon
174,59,Coquimbo Unido,1,Último Absoluta
175,59,Universidad de Concepción,2,Último Ponderada
176,59,Iquique,3,Partido Pen Abs vs Pen Pon
177,60,Coquimbo Unido,1,Último Absoluta
178,60,Universidad de Concepción,2,Último Ponderada
179,60,Iquique,3,Partido Pen Abs vs Pen Pon
180,61,Coquimbo Unido,1,Último Absoluta
181,61,Universidad de Concepción,2,Último Ponderada
182,61,Iquique,3,Partido Pen Abs vs Pen Pon
183,62,Coquimbo Unido,1,Último Absoluta
184,62,Universidad de Concepción,2,Último Ponderada
185,62,Iquique,3,Partido Pen Abs vs Pen Pon
186,63,Coquimbo Unido,1,Último Absoluta
187,63,Iquique,2,Último Ponderada
188,63,Colo-Colo,3,Partido Ant Abs vs Pen Pon
